Country,Civilian Death
Afghanistan,9594
Albania,15
Algeria,2896
Andorra,0
Angola,909
Antigua and Barbuda,0
Argentina,0
Armenia,2
Australia,19
Austria,1
Azerbaijan,7
Bahamas,0
Bahrain,3
Bangladesh,278
Barbados,0
Belarus,13
Belgium,5
Belize,0
Benin,0
Bhutan,14
Bolivia,0
Bosnia and Herz.,4
Botswana,0
Brazil,6
Brunei,7
Bulgaria,5
Burkina Faso,0
Burundi,499
Côte d'Ivoire,0
Cambodia,16
Cameroon,43
Canada,67
Central African Rep.,0
Chad,411
Chile,0
China,471
Colombia,1958
Comoros,0
Congo,0
Costa Rica,1
Croatia,0
Cuba,1
Cyprus,0
Czechia,0
Dem. Rep. Congo,0
Denmark,12
Djibouti,0
Dominican Rep.,0
Dominican Republic,0
East Timor,8
Ecuador,1
Egypt,116
El Salvador,0
Eq. Guinea,0
Eritrea,40
Estonia,7
eSwatini,0
Ethiopia,405
Falkland Islands,0
Fiji,0
Finland,9
France,82
French Guiana,0
French Polynesia,0
Gabon,0
Gambia,0
Georgia,44
Germany,42
Ghana,1
Greece,4
Greenland,0
Grenada,0
Guadeloupe,0
Guatemala,35
Guinea,0
Guinea-Bissau,16
Guyana,33
Haiti,13
Honduras,32
Hong Kong,0
Hungary,9
Iceland,16
India,6976
Indonesia,382
Iran,526
Iraq,27946
Ireland,8
Israel,1236
Italy,93
Jamaica,0
Japan,49
Jordan,68
Kazakhstan,17
Kenya,388
Kosovo,3
Kuwait,1
Kyrgyzstan,2
Laos,10
Latvia,0
Lebanon,229
Lesotho,0
Liberia,18
Libya,29
Lithuania,0
Luxembourg,0
Macau,0
Macedonia,47
Madagascar,2
Malawi,1
Malaysia,11
Maldives,0
Mali,159
Malta,0
Martinique,0
Mauritania,37
Mauritius,0
Mexico,89
Moldova,2
Mongolia,0
Montenegro,1
Morocco,16
Mozambique,7
Myanmar,157
Namibia,2
Nepal,1814
Netherlands,13
New Caledonia,0
New Zealand,1
Nicaragua,0
Niger,96
Nigeria,2778
North Korea,0
North Yemen,0
Norway,79
Pakistan,10965
Panama,0
Papua New Guinea,0
Paraguay,3
Peru,99
Philippines,1813
Poland,11
Portugal,0
Puerto Rico,0
Qatar,0
Republic of the Congo,34
Romania,2
Russia,2739
Rwanda,67
S. Sudan,0
Saudi Arabia,74
Senegal,98
Serbia,1
Seychelles,0
Sierra Leone,0
Singapore,0
Slovak Republic,14
Slovakia,0
Slovenia,0
Solomon Islands,2
Somalia,2254
South Africa,12
South Korea,24
South Vietnam,0
Spain,244
Sri Lanka,2326
St. Kitts and Nevis,0
St. Lucia,0
Sudan,1909
Suriname,0
Sweden,4
Switzerland,27
Syria,1026
Taiwan,2
Tajikistan,17
Tanzania,31
Thailand,1591
Togo,2
Trinidad and Tobago,0
Tunisia,43
Turkey,565
Turkmenistan,0
Uganda,781
Ukraine,11
United Arab Emirates,19
United Kingdom,1
United States of America,4105
Uruguay,0
Uzbekistan,58
Vanuatu,0
Venezuela,2
Vietnam,0
W. Sahara,0
West Bank and Gaza Strip,234
Yemen,1991
Zambia,0
Zimbabwe,10
